"sex","sit","stand","step","sleep","outcome"
"Female",0.559480438407643,0.0800079655189613,0.0270391977457585,0.333472398327637,-0.619705021017605
"Female",0.413261094460921,0.205274373760319,0.0307329603553773,0.350731571423384,-0.450799224721313
"Female",0.524959124337145,0.112752110895329,0.0300307294269138,0.332258035340612,0.396228184521441
"Female",0.367326226261294,0.216695764389871,0.0412896110032261,0.37468839834561,0.150368779417143
"Female",0.375140740567199,0.225191638176642,0.062281604394721,0.337386016861439,0.0559399206308538
"Male",0.276616142604139,0.270928662237155,0.130303986848316,0.322151208310389,1.51018575955306
"Male",0.358578182188675,0.227817758418749,0.0277128006931834,0.385891258699392,-0.397580914513884
"Female",0.540683206202328,0.152728946502656,0.0420767245014609,0.264511122793555,0.547826832655068
"Male",0.460135360130165,0.130786539235944,0.0846682771480342,0.324409823485857,-0.697957761432192
"Male",0.417000654224813,0.20187830708672,0.0599945651465649,0.321126473541903,-0.347287045186786
"Male",0.317360206078402,0.169030543751359,0.0342583533185013,0.479350896851738,-0.617445069189873
"Male",0.435300873481905,0.135117814748705,0.0427332289707749,0.386848082798615,-0.714727163970865
"Male",0.581354148564648,0.0675396152441934,0.0227221972168496,0.328384038974309,-1.44484602640692
"Female",0.400352764532861,0.0812547226040111,0.0378885432688308,0.480503969594297,0.469351059687554
"Female",0.352392408516879,0.265164713819262,0.0455838203819743,0.336859057281884,-0.663973269840027
"Female",0.377283922928139,0.161448827134279,0.034179689096549,0.427087560841033,-0.669959022530926
"Male",0.309906239619869,0.267287852605771,0.0838312889814822,0.338974618792878,-0.0531292255319586
"Male",0.457201273368315,0.144445507197824,0.0344382324751236,0.363914986958738,-1.2346077798304
"Female",0.446082263144202,0.124891820134991,0.045287076568014,0.383738840152793,-0.515697935668807
"Female",0.574511657842947,0.100091136368863,0.0172054806637338,0.308191725124457,-0.288025647920928
"Female",0.593947389480724,0.0370867684797704,0.0139717701737488,0.354994071865757,-0.92904409164311
"Male",0.184211610808991,0.375150338230112,0.129780185120393,0.310857865840505,0.0233276619848059
"Male",0.45084127721306,0.147480966193997,0.0524206649743993,0.349257091618544,-0.00232672852776328
"Male",0.402787037776304,0.0830242988307873,0.0623600212574286,0.45182864213548,-0.683249882448862
"Female",0.471130447689777,0.107347893249193,0.0248427892745595,0.396678869786471,-1.13897967925736
"Female",0.443040103730853,0.08757161761686,0.0318518626974599,0.437536415954827,-0.839129161691063
"Female",0.496807855682511,0.097110137550182,0.0276361604421763,0.378445846325131,0.082049358215986
"Female",0.368315689816637,0.306555334820564,0.0577604505891681,0.267368524773632,0.0925561885497967
"Male",0.335387353019368,0.188061998276839,0.0471543547286589,0.429396293975134,-1.08877475577665
"Female",0.501689677698639,0.117101643339804,0.0876906587416967,0.293518020219861,1.01315685344139
"Female",0.251321438976217,0.314591893730308,0.141067434080884,0.293019233212592,0.926648734153237
"Male",0.233789594289085,0.293249653215851,0.0512689540209116,0.421691798474153,-0.506877951904718
"Female",0.564472682962967,0.102681937579092,0.0316004392496605,0.30124494020828,-0.354153835962566
"Male",0.394047149108301,0.148530726586086,0.0543841261104751,0.403037998195137,-0.496166787427857
"Female",0.499627392307548,0.122528106278399,0.0409115404250938,0.336932960988958,0.169869095817176
"Female",0.561499206956459,0.0871620605954916,0.0663945877915482,0.284944144656501,0.870852623868043
"Female",0.47591610515747,0.127426508329199,0.0614178390947239,0.335239547418607,0.468006099651879
"Female",0.459005186035403,0.201327313986603,0.0428508590698351,0.29681664090816,-0.0628571910932366
"Female",0.420450904748781,0.178222077763059,0.081209497393278,0.320117520094882,1.1841496088949
"Male",0.35523703661878,0.25069232370802,0.0787993849456833,0.315271254727517,-0.561512263952073
"Female",0.3943273635513,0.281755810017794,0.0446498937311822,0.279266932699724,-0.050785148949086
"Female",0.48242422871697,0.0867934991247846,0.0485640246643331,0.382218247493912,0.754374121816738
"Female",0.476824067808328,0.0921505477619935,0.0429160782559108,0.388109306173768,-0.31938628423462
"Male",0.38479860230226,0.226161726449031,0.0423577189942804,0.346681952254428,-0.608224420748794
"Female",0.480056034214897,0.129129164548015,0.0454311961343356,0.345383605102753,-0.0326145623199646
"Female",0.379096000129739,0.13577093570662,0.0445303855002582,0.440602678663383,-0.334837273489539
"Male",0.439990486160059,0.16423432557462,0.0356531882808158,0.360121999984505,-0.567397240019022
"Female",0.307864961260328,0.216569910132927,0.0321822623338771,0.443382866272868,0.341547192151209
"Female",0.50938705943616,0.111956391304126,0.0260056662918093,0.352650882967905,-1.20897503447104
"Male",0.534080451095111,0.107700695383908,0.042511720900578,0.315707132620403,-0.217939430832236
"Female",0.421962997724026,0.08601110197888,0.0834810956353182,0.408544804661776,0.35961075145902
"Female",0.455575324979115,0.13526991114795,0.0393323489929586,0.369822414879976,-0.263279581017516
"Female",0.480535555832412,0.122892261953647,0.0423435121622007,0.354228670051741,-0.357306759148422
"Male",0.392117294136357,0.193991695369319,0.0667969121800827,0.347094098314242,-0.161787587740718
"Female",0.410323991976465,0.0931338840099567,0.0589006292992163,0.437641494714362,0.270317471164388
"Male",0.386455297968404,0.208306289608587,0.0200052098699134,0.385233202553095,-1.44297650762823
"Male",0.538515033879667,0.18442897111362,0.0560693828162685,0.220986612190444,0.756331162810673
"Male",0.363940127625611,0.230912239582807,0.0642234946617063,0.340924138129875,0.0331192706348064
"Male",0.359629791748781,0.20792870041804,0.0479361950709066,0.384505312762272,-0.663610167323223
"Male",0.472128790363927,0.128006982730362,0.0613630051098215,0.33850122179589,0.471491420792588
"Male",0.469077835493159,0.183751773275184,0.0601927711982614,0.286977620033395,-0.292215893595854
"Male",0.366422603665904,0.171730391996436,0.1596610560815,0.30218594825616,1.33220831154972
"Male",0.500929824289185,0.141152124995572,0.0302125169310194,0.327705533784224,-0.998165972213075
"Male",0.507580613508636,0.0810695260044772,0.012365301886056,0.398984558600831,-1.95801326168571
"Female",0.424504079389554,0.107770360307014,0.0462472273695191,0.421478332933913,-0.526558463646063
"Female",0.283113806739337,0.273234255274913,0.122800144688754,0.320851793296996,-0.0352462487374733
"Male",0.343791817136385,0.164303807802442,0.0903595261049143,0.401544848956259,-1.50357648981366
"Female",0.477976298958632,0.109485366942362,0.026353364451183,0.386184969647823,-0.0759526446821273
"Male",0.295287145438883,0.258175350070977,0.058663587698428,0.387873916791712,-0.446265319548994
"Male",0.627062934669861,0.0582981970299819,0.0154982478147762,0.299140620485381,0.604841112772956
"Male",0.387187503651791,0.207619111299418,0.0624365432665626,0.342756841782229,-0.54129637845372
"Male",0.287262376983118,0.26532524166169,0.0883982838842876,0.359014097470904,-0.344453178593269
"Female",0.334683148278448,0.249501112646953,0.101439638007679,0.31437610106692,0.046864319344013
"Female",0.395214120309995,0.211182278103491,0.057013072692043,0.336590528894471,-0.970236441644456
"Female",0.486774844804086,0.062641174042663,0.0500678799045075,0.400516101248743,0.0362417803553853
"Female",0.449034838241573,0.145480133339727,0.0893753704621202,0.31610965795658,1.05674756297029
"Male",0.412708414618241,0.117900865517925,0.0775667230769838,0.39182399678685,0.133390936998018
"Male",0.299592500287822,0.310018208585452,0.0816183007227794,0.308770990403946,-0.393397513803831
"Female",0.328719436106334,0.143034663929113,0.0622206075347282,0.466025292429825,-1.0705553996657
"Female",0.522343607576421,0.0598118183456627,0.0217020477466968,0.39614252633122,-0.321795958836255
"Female",0.431373664492959,0.103753116494446,0.0323748793724518,0.432498339640144,0.0558860761750861
"Male",0.329619557728483,0.17233298960717,0.089263893582093,0.408783559082253,-0.170878581992626
"Female",0.3895597786886,0.217633937550385,0.0334609477452802,0.359345336015734,-0.149460330836038
"Female",0.350961295834905,0.160943698732904,0.0598546231899297,0.428240382242261,0.570132782524027
"Male",0.487825282721192,0.184456436368376,0.0288630416444963,0.298855239265936,-1.09497274762489
"Female",0.43684216917288,0.148360498432203,0.0583463934690501,0.356450938925867,-0.210133501904301
"Male",0.429864894539125,0.123957793915001,0.0433740852330902,0.402803226312784,-0.516182560032468
"Female",0.429501457997242,0.162633391697132,0.0314965063960738,0.376368643909553,-0.0564374401844094
"Female",0.288068975364232,0.301765656889421,0.046422335916948,0.363743031829399,0.0308676970072618
"Female",0.50982107338078,0.0814815755301163,0.0159928230254034,0.3927045280637,-0.399543936457211
"Female",0.543086121434778,0.109682046535922,0.0267562975251735,0.320475534504127,-0.679019164248082
"Male",0.545886527473557,0.0516231823681099,0.0239291621038207,0.378561128054512,-0.684170958947693
"Male",0.581510493617789,0.0660062858710614,0.0337163804649624,0.318766840046187,-0.702641576031709
"Female",0.293382714752368,0.221683662223972,0.0834910934824265,0.401442529541233,-0.0246077633366637
"Female",0.31334101172324,0.264495513937793,0.0886304086494102,0.333533065689557,0.789954169972132
"Male",0.386896229420848,0.201466242170371,0.0387313015873397,0.372906226821442,-0.351877588957155
"Male",0.490766047565024,0.116061618569969,0.0204632702980151,0.372709063566992,-1.39423315654572
"Male",0.287935061312716,0.192278349995538,0.0972186783357711,0.422567910355975,0.300211060941735
"Female",0.495352933421406,0.0857002883689203,0.0491269353896527,0.369819842820021,0.113674746283622
"Male",0.510560900516495,0.126293562724942,0.0691267674091702,0.294018769349393,0.599404022593003
"Female",0.379376403966208,0.209318449633177,0.036447199990996,0.374857946409619,-0.447614000184368
"Female",0.403940900411329,0.169093385359429,0.163153962514365,0.263811751714877,1.576546442231
"Male",0.335320173287046,0.171656118234786,0.138122454786559,0.354901253691609,0.355171784757885
"Female",0.383714136474675,0.166143993218624,0.0626059193341213,0.38753595097258,0.653289395902018
"Female",0.47933393166815,0.0657789280910718,0.022022199942828,0.432864940297951,-0.837597740485165
"Male",0.425088583745059,0.181952484984267,0.05298842063072,0.339970510639955,-0.630302464179458
"Female",0.269340877870628,0.267072345849511,0.090968185642538,0.372618590637324,-0.0243520465361248
"Male",0.42944623024084,0.111674061767635,0.0377184079537002,0.421161300037825,-0.525692634348674
"Female",0.45548283812265,0.136074125373114,0.097831080770481,0.310611955733755,0.309490323316623
"Male",0.434505841978558,0.165421373694426,0.0492972787022049,0.350775505624811,-0.434011535690707
"Male",0.436398155798395,0.116091839787952,0.133075558905013,0.314434445508639,-0.171928812667424
"Female",0.435616617065901,0.11296516902502,0.0687744769147307,0.382643736994348,1.14893678063189
"Female",0.565469500646135,0.111325861713745,0.0460455342029372,0.277159103437183,0.323622817211136
"Female",0.465333114772336,0.141683695176425,0.0434736191811978,0.349509570870041,-0.755249957155395
"Male",0.549562222439425,0.0842017034932513,0.0525157955698052,0.313720278497518,-0.16540329210921
"Male",0.398518184895173,0.11909366656922,0.0977502762484853,0.384637872287121,0.580489658782821
"Female",0.243118796536304,0.290153948134265,0.0816461360120574,0.385081119317374,0.176685669376391
"Male",0.399861082733028,0.167948143449756,0.0268323877989398,0.405358386018276,0.046571495994993
"Female",0.469815604714144,0.122298660798823,0.0293344466351342,0.378551287851899,-0.808300963904604
"Female",0.537372656102352,0.0806951835884642,0.0319765301900846,0.3499556301191,-0.524596486682214
"Male",0.532758392123794,0.108539950357831,0.0228658076726101,0.335835849845765,-1.17027771372261
"Male",0.347259828402689,0.22999614905505,0.0559640573504169,0.366779965191844,0.28610164330118
"Female",0.454259916933386,0.0825571802265763,0.0632165047368409,0.399966398103197,0.312647557854763
"Female",0.381266318322164,0.158229321014427,0.035364475683554,0.425139884979855,-0.179608308301807
"Male",0.424916175218047,0.199958948519472,0.0216424577816151,0.353482418480866,-1.45405035992418
"Male",0.500903431381388,0.13238562088037,0.0228501865081037,0.343860761230138,-0.835366789023095
"Female",0.577680272352775,0.057025709527066,0.011368618207545,0.353925399912614,0.662637933428968
"Female",0.324509379406711,0.14857534473834,0.0188958570634044,0.508019418791544,-0.633007095018238
